underlying_price,underlying_index,timestamp,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,stats.volume,stats.price_change,stats.low,stats.high,greeks.vega,greeks.theta,greeks.rho,greeks.gamma,greeks.delta,settlement_period,settlement_price
45671.64,SYN.BTC-13FEB21,1613068625266,2.1,0.0001,0.379,0.17910112,124.25,0.2365,0.0,BTC-13FEB21-37500-C,47795.22,5292406379,[],0.0,0.0,0.0,0.221,3.0,"[[0.221, 3.0]]",462.41,2.1,0.0,0.2365,0.2365,0.56428,-22.50523,1.58677,1e-05,0.99323,day,
48875.88,SYN.BTC-5MAR21,1613068625269,0.0,0.0001,0.205,0.00507855,48.92,,0.0,BTC-5MAR21-57500-C,47795.22,5292056546,[],0.0,0.0,0.0,0.0365,0.4,"[[0.0365, 0.4]]",96.33,,,,,20.15899,-22.87224,2.61116,3e-05,0.09553,week,
50634.39,BTC-24SEP21,1613068625262,143.4,0.0001,0.21,0.01033143,161.48,0.001,0.0,BTC-24SEP21-7000-P,47795.22,5292400104,[],0.0,0.0,0.0,0.0445,0.8,"[[0.0445, 0.8]]",250.64,,,,,14.22748,-5.11544,-7.599,0.0,-0.01406,month,0.0
49681.25,BTC-26MAR21,1613068626269,394.5,0.0001,0.201,0.00104251,231.06,0.0015,0.0,BTC-26MAR21-8000-P,47793.53,5292400062,[],0.0,0.0,0.0,0.0005,0.1,"[[0.0005, 0.1], [0.002, 4.8], [0.189, 1.6]]",211.35,,,,,1.72501,-4.6829,-0.25581,0.0,-0.00337,month,0.0
48876.15,SYN.BTC-5MAR21,1613068626272,0.0,0.0001,0.225,0.02518964,100.0,,0.0,BTC-5MAR21-40000-P,47793.53,5292042911,"[[0.012, 0.4]]",76.46,0.012,0.4,0.0,0.0,[],0.0,,,,,30.28787,-70.24858,-5.69329,2e-05,-0.17203,week,
50635.0,BTC-24SEP21,1613068626269,173.6,0.0001,0.3795,0.17958743,100.0,0.1035,0.0,BTC-24SEP21-40000-P,47793.53,5292033188,"[[0.0375, 0.1], [0.02, 0.9]]",40.61,0.0375,0.1,0.0,0.0,[],0.0,,,,,124.6423,-27.75285,-132.02587,1e-05,-0.24423,month,0.19
49911.5,BTC-25JUN21,1613068626269,631.5,0.0001,0.2395,0.03989572,100.0,0.0191,0.0,BTC-25JUN21-28000-P,47793.53,5292400065,"[[0.0095, 0.1]]",65.64,0.0095,0.1,0.0325,0.2,"[[0.0325, 0.2], [0.29, 1.0], [0.52, 0.2], [0.5215, 0.1]]",93.03,,,,,54.59105,-20.43726,-26.31371,1e-05,-0.10419,month,0.05
48876.15,SYN.BTC-5MAR21,1613068626274,0.0,0.0001,0.3535,0.15374148,48.92,,0.0,BTC-5MAR21-56000-P,47793.53,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,26.30471,-29.84648,-29.29371,4e-05,-0.86104,week,
48876.15,SYN.BTC-5MAR21,1613068626275,0.0,0.0001,0.3375,0.13781761,100.0,,0.0,BTC-5MAR21-45000-C,47793.53,5292406303,"[[0.08, 0.1], [0.006, 99.0]]",19.24,0.08,0.1,0.0,0.0,[],0.0,,,,,42.6002,-98.80536,15.5872,3e-05,0.67778,week,
50634.29,BTC-24SEP21,1613068627276,274.2,0.5605,0.96,0.76047489,124.97,0.7695,0.0,BTC-24SEP21-13000-C,47793.03,5292400092,"[[0.229, 2.0]]",0.0,0.229,2.0,0.8535,0.4,"[[0.8535, 0.4]]",249.93,,,,,27.2034,-7.5693,65.19607,0.0,0.96976,month,0.74
