underlying_price,underlying_index,timestamp,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,stats.volume,stats.price_change,stats.low,stats.high,greeks.vega,greeks.theta,greeks.rho,greeks.gamma,greeks.delta,settlement_period
1929.93,ETH-25JUN21,1613068731977,0.0,10.0,0.0001,0.2005,0.000686,80.0,0.0005,0.0,ETH-25JUN21-600-P,1795.22,1028784217,"[[0.0005, 1.0]]",77.07,0.0005,1.0,0.0,0.0,[],0.0,,,,,0.13679,-0.04097,-0.03275,1e-05,-0.00395,month
1953.98,SYN.ETH-24SEP21,1613068731981,0.3,0.0,0.0745,0.474,0.274253,80.0,,0.0,ETH-24SEP21-2040-P,1795.22,1050496654,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,5.93338,-1.05691,-8.14428,0.00032,-0.40319,month
1953.93,SYN.ETH-24SEP21,1613068732984,0.31,0.0,0.088,0.4875,0.287693,80.0,,0.0,ETH-24SEP21-2080-P,1795.05,1050496650,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,5.97559,-1.06443,-8.45012,0.00032,-0.41523,month
1953.93,SYN.ETH-24SEP21,1613068732984,0.23,0.0,0.0455,0.445,0.245126,80.0,0.0005,0.0,ETH-24SEP21-1960-C,1795.05,1081216001,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,5.82946,-1.0384,4.52166,0.00031,0.62126,month
1797.91,SYN.ETH-13FEB21,1613068732985,,0.0,0.0001,0.31,0.110325,80.0,,0.0,ETH-13FEB21-1600-C,1795.05,1085615601,[],0.0,0.0,0.0,0.1105,2.0,"[[0.1105, 2.0]]",87.98,,,,,0.03655,-0.93937,0.06729,0.00033,0.98805,day
1953.93,SYN.ETH-24SEP21,1613068732984,0.0,0.0,0.0001,0.2005,0.000836,80.0,,0.0,ETH-24SEP21-440-P,1795.05,1016043211,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,0.16425,-0.02926,-0.05305,1e-05,-0.00358,month
1974.56,SYN.ETH-31DEC21,1613068733991,0.59,0.0,0.4045,0.804,0.604492,80.0,,0.0,ETH-31DEC21-840-C,1795.02,1018925169,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,2.35922,-0.29256,5.76421,9e-05,0.9348,month
1868.48,ETH-26MAR21,1613068733991,0.0,0.0,0.0001,0.2,0.000167,84.81,,0.0,ETH-26MAR21-840-P,1795.02,1050496672,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,0.03738,-0.03724,-0.00436,1e-05,-0.00183,month
1974.56,SYN.ETH-31DEC21,1613068733991,0.05,0.0,0.0001,0.245,0.045163,80.0,,0.0,ETH-31DEC21-960-P,1795.02,1050496690,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,3.03777,-0.37671,-2.37524,0.00011,-0.09095,month
1953.76,SYN.ETH-24SEP21,1613068733991,0.33,0.0,0.147,0.5465,0.346611,80.0,,0.0,ETH-24SEP21-1520-C,1795.02,1080750363,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,4.73861,-0.84409,4.99736,0.00025,0.76233,month
